id,user_id,filename,isopen,Aesth,LoD,Useful,ts
436,675,1-long_img2img-lora.png,0,1,1,1,2024-12-21 23:44:29
368,675,1-long_img2img-stable_diffusion1.5.jpeg,0,3,3,2,2024-12-21 23:00:29
341,675,1-long_text2img-kreaAI.png,0,3,2,2,2024-12-21 22:54:12
559,675,1-long_text2img-lora.png,0,1,2,2,2024-12-22 1:05:15
367,675,1-long_text2img-stable_diffusion1.5.jpg,0,4,2,3,2024-12-21 22:59:58
426,675,1-short_img2img-kreaAI.png,0,4,5,4,2024-12-21 23:38:28
580,675,1-short_img2img-lora.png,0,2,2,2,2024-12-22 1:10:17
579,675,1-short_img2img-stable_diffusion1.5.jpeg,0,1,1,2,2024-12-22 1:09:48
355,675,1-short_text2img-kreaAI.png,0,4,2,3,2024-12-21 22:56:49
389,675,1-short_text2img-lora.png,0,3,3,3,2024-12-21 23:05:35
575,675,1-short_text2img-stable_diffusion.jpg,0,3,3,3,2024-12-22 1:08:54
352,675,2-long_img2img-kreaAI.png,0,5,4,4,2024-12-21 22:56:07
549,675,2-long_img2img-lora.png,0,1,1,1,2024-12-22 1:02:34
394,675,2-long_img2img-stable_diffusion1.5.jpeg,0,6,6,6,2024-12-21 23:06:19
582,675,2-long_text2img-kreaAI.png,0,2,3,3,2024-12-22 1:10:46
430,675,2-long_text2img-lora.png,0,2,2,1,2024-12-21 23:42:17
326,675,2-long_text2img-stable_diffusion1.5.jpg,1,6,4,5,2024-12-21 22:49:46
362,675,2-short_img2img-kreaAI.png,0,2,1,1,2024-12-21 22:57:47
588,675,2-short_img2img-lora.png,0,1,1,1,2024-12-22 1:11:52
376,675,2-short_img2img-stable_diffusion1.5.jpeg,0,4,5,3,2024-12-21 23:03:12
366,675,2-short_text2img-kreaAI.png,0,2,2,2,2024-12-21 22:59:09
587,675,2-short_text2img-lora.png,0,2,1,1,2024-12-22 1:11:40
432,675,2-short_text2img-stable_diffusion1.5.jpg,0,3,1,1,2024-12-21 23:42:55
375,675,3-long_img2img-kreaAI.png,0,7,5,6,2024-12-21 23:02:33
339,675,3-long_img2img-lora.png,0,5,4,5,2024-12-21 22:52:58
439,675,3-long_img2img-stable_diffusion1.5.jpeg,0,4,3,4,2024-12-21 23:45:54
564,675,3-long_text2img-kreaAI.png,1,3,4,3,2024-12-22 1:06:11
524,675,3-long_text2img-lora.png,1,4,4,4,2024-12-22 0:54:51
385,675,3-long_text2img-stable_diffusion1.5.jpg,0,2,2,2,2024-12-21 23:05:04
550,675,3-short_img2img-kreaAI.png,0,6,6,6,2024-12-22 1:03:04
539,675,3-short_img2img-lora.png,0,4,4,3,2024-12-22 0:57:02
370,675,3-short_img2img-stable_diffusion1.5.jpeg,0,3,4,3,2024-12-21 23:01:35
585,675,3-short_text2img-kreaAI.jpg,0,1,2,1,2024-12-22 1:11:14
344,675,3-short_text2img-lora.png,0,4,4,4,2024-12-21 22:54:51
570,675,3-short_text2img-stable_diffusion1.5.jpg,0,2,3,2,2024-12-22 1:07:46
530,675,4-long_img2img-kreaAI.png,0,2,2,1,2024-12-22 0:55:52
561,675,4-long_img2img-lora.png,0,1,1,1,2024-12-22 1:05:25
437,675,4-long_img2img-stable_diffusion1.5.jpeg,0,3,2,2,2024-12-21 23:45:00
553,675,4-long_text2img-kreaAI.png,1,4,1,1,2024-12-22 1:03:39
365,675,4-long_text2img-lora.png,0,4,2,2,2024-12-21 22:58:43
427,675,4-long_text2img-stable_diffusion1.5.jpg,0,4,3,4,2024-12-21 23:39:31
382,675,4-short_img2img-kreaAI.png,0,4,4,4,2024-12-21 23:04:41
568,675,4-short_img2img-lora.png,0,1,1,1,2024-12-22 1:07:09
438,675,4-short_img2img-stable_diffusion1.5.jpeg,0,2,2,3,2024-12-21 23:45:25
433,675,4-short_text2img-kreaAI.png,0,6,5,5,2024-12-21 23:43:26
567,675,4-short_text2img-lora.png,0,1,1,2,2024-12-22 1:06:47
434,675,4-short_text2img-stable_diffusion1.5.jpg,0,4,5,5,2024-12-21 23:43:49
435,675,5-long_img2img-kreaAI.png,0,5,5,5,2024-12-21 23:44:16
424,675,5-long_img2img-lora.png,0,5,3,4,2024-12-21 23:37:33
369,675,5-long_img2img-stable_diffusion1.5.jpeg,0,1,1,1,2024-12-21 23:00:54
441,675,5-long_text2img-kreaAI.png,0,4,4,5,2024-12-21 23:46:53
359,675,5-long_text2img-lora.png,0,3,2,2,2024-12-21 22:57:28
571,675,5-long_text2img-stable_diffusion1.5.jpg,0,2,1,1,2024-12-22 1:08:01
529,675,5-short_img2img-kreaAI.png,0,1,1,1,2024-12-22 0:55:31
555,675,5-short_img2img-lora.png,1,3,2,3,2024-12-22 1:04:07
574,675,5-short_img2img-stable_diffusion1.5.jpeg,0,2,2,2,2024-12-22 1:08:36
556,675,5-short_text2img-kreaAI.png,0,3,2,3,2024-12-22 1:04:26
552,675,5-short_text2img-lora.png,0,1,2,2,2024-12-22 1:03:24
428,675,5-short_text2img-stable_diffusion1.5.jpg,0,4,3,4,2024-12-21 23:39:49
542,675,6-long_img2img-kreaAI.png,0,4,3,3,2024-12-22 0:57:38
558,675,6-long_img2img-lora.png,0,2,2,2,2024-12-22 1:04:48
589,675,6-long_img2img-stable_diffusion1.5.jpeg,0,2,2,3,2024-12-22 1:12:05
377,675,6-long_text2img-kreaAI.png,0,4,3,3,2024-12-21 23:03:45
431,675,6-long_text2img-lora.png,0,3,2,2,2024-12-21 23:42:42
577,675,6-long_text2img-stable_diffusion1.5.jpg,0,1,1,2,2024-12-22 1:09:36
576,675,6-short_img2img-kreaAI.png,0,4,4,4,2024-12-22 1:09:12
573,675,6-short_img2img-lora.png,0,3,2,2,2024-12-22 1:08:18
440,675,6-short_img2img-stable_diffusion1.5.jpeg,0,4,3,3,2024-12-21 23:46:27
583,675,6-short_text2img-kreaAI.png,0,2,2,2,2024-12-22 1:11:05
331,675,6-short_text2img-lora.png,0,4,4,2,2024-12-21 22:51:11
319,675,6-short_text2img-stable_diffusion1.5.jpg,1,4,3,4,2024-12-21 22:47:48
566,675,7-long_img2img-kreaAI.png,0,2,3,2,2024-12-22 1:06:27
541,675,7-long_img2img-lora.png,0,3,2,2,2024-12-22 0:57:23
